$\Delta P_N$ [mm$_{H_2O}$],$\Delta P_N$ error,$Q_P$ [m$^6$/h$^2$],$Q_P$ error
278.89108108108115,1.2539336107566077,281.73959459459456,1.1207744866088787
254.83635294117644,1.1378026515831197,268.7814117647059,1.0949670063970156
226.58531914893618,0.8243220767976818,252.4606382978723,0.754770930870681
294.26888888888885,1.9074637476811835,290.82666666666665,1.180371519089194
301.98507246376806,1.0547380817730814,294.00231884057973,1.204087578561334
320.76298507462684,1.2719967778277448,303.8753731343283,1.2335270057087357
335.7198412698412,1.3128428794076132,311.42698412698417,1.138690015481339
348.6426666666667,1.5066450175935748,317.27649999999994,1.3167767850683378
368.34676923076927,1.3248574306462064,326.4441538461539,1.1906535656779182
383.6868656716418,1.280504409320232,333.0526865671642,1.2338859311866972
394.57411290322574,1.429342342430489,338.08822580645165,1.3145038622542975
387.25898550724634,1.5837568375148745,335.35318840579714,1.119036472035629
375.30450704225353,1.6172655835721101,329.17154929577464,1.221732549511233
358.72125000000005,1.5475989467559113,321.918,1.109047177096471
347.8775675675676,1.3847992341559514,316.54594594594596,1.27244178967374
334.6588679245283,1.034308874372268,310.1969811320755,1.203971928029598
319.10120000000006,1.2072157881603796,302.6698,0.9820542609390633
303.5735416666667,1.2515751600306242,295.2597916666667,1.0445206364304553
285.2228846153846,1.2647333076054061,285.56499999999994,1.0231353196683939
264.95489361702124,1.3553867927650194,274.72999999999996,1.1331794439425389
237.19490566037732,1.0933410732554336,259.2658490566037,0.8543113149969297
374.01176470588234,1.2959107493310345,329.3917647058823,1.1429665563872025
406.6710000000001,1.4034448995977362,343.8043333333334,1.404226829435237
373.2920000000001,0.7352764300393619,328.588,1.245725262074849
